,x,y,time
329,[64273 64653 76710],[67659 55021 68319],1509232144140
330,[64273 64652 76710],[67659 55021 68319],1509232144150
331,[64272 64653 76710],[67660 55021 68318],1509232144160
332,[64273 64652 76710],[67660 55020 68319],1509232144170
333,[64273 64652 76709],[67659 55021 68319],1509232144180
334,[64273 64653 76711],[67659 55021 68319],1509232144190
335,[64274 64652 76711],[67659 55021 68319],1509232144200
336,[64273 64652 76710],[67659 55021 68317],1509232144210
337,[64272 64652 76709],[67659 55021 68317],1509232144220
338,[64273 64653 76708],[67660 55022 68318],1509232144230
339,[64273 64652 76710],[67660 55021 68319],1509232144240
340,[64272 64653 76711],[67660 55022 68319],1509232144250
341,[64274 64652 76711],[67660 55021 68319],1509232144260
342,[64273 64652 76710],[67659 55021 68318],1509232144270
343,[64274 64653 76709],[67660 55022 68318],1509232144281
344,[64272 64653 76710],[67659 55021 68319],1509232144291
345,[64273 64652 76710],[67659 55021 68319],1509232144300
346,[64272 64653 76710],[67659 55021 68318],1509232144310
347,[64272 64652 76711],[67660 55021 68319],1509232144320
348,[64272 64652 76711],[67659 55021 68318],1509232144330
349,[64273 64653 76710],[67659 55021 68319],1509232144340
350,[64273 64652 76710],[67659 55021 68318],1509232144350
351,[64272 64652 76710],[67661 55021 68318],1509232144360
352,[64274 64652 76710],[67659 55021 68319],1509232144370
353,[64273 64653 76711],[67660 55021 68318],1509232144380
354,[64273 64652 76709],[67660 55021 68318],1509232144392
355,[64272 64652 76709],[67661 55022 68319],1509232144402
356,[64273 64653 76710],[67659 55021 68319],1509232144410
357,[64274 64652 76709],[67660 55021 68319],1509232144420
358,[64273 64652 76710],[67660 55022 68319],1509232144430
359,[64271 64652 76709],[67660 55022 68319],1509232144440
360,[64272 64652 76710],[67659 55022 68319],1509232144450
361,[64271 64652 76711],[67660 55022 68319],1509232144460
362,[64273 64652 76710],[67661 55022 68319],1509232144470
363,[64274 64652 76710],[67660 55022 68319],1509232144480
364,[64272 64653 76709],[67661 55021 68318],1509232144490
365,[64271 64651 76710],[67659 55021 68318],1509232144500
366,[64275 64653 76711],[67658 55021 68319],1509232144510
367,[64273 64652 76712],[67659 55021 68318],1509232144520
368,[64272 64652 76711],[67660 55022 68318],1509232144531
369,[64273 64652 76711],[67660 55021 68318],1509232144541
