,x,y,time
357,[63086 72858 73236 82905],[43894 35871 69047 44278],1509129414740
358,[63087 72860 73234 82903],[43894 35872 69049 44279],1509129414750
359,[63089 72860 73238 82906],[43893 35872 69050 44278],1509129414760
360,[63088 72858 73236 82905],[43895 35872 69048 44279],1509129414770
361,[63086 72858 73237 82899],[43895 35873 69048 44278],1509129414780
362,[63086 73393 72859 73235 82903],[43894 67475 35873 69051 44279],1509129414791
363,[63088 73387 72860 73236 82907],[43894 67488 35872 69049 44279],1509129414801
364,[63087 72859 73236 82907],[43894 35872 69048 44279],1509129414811
365,[63086 73371 72859 73237 82907],[43894 67474 35871 69049 44279],1509129414820
366,[63086 72859 73237 82903],[43894 35872 69051 44278],1509129414830
367,[63087 72859 73235 82904],[43895 35873 69049 44279],1509129414840
368,[63088 72858 73237 82904],[43894 35873 69049 44280],1509129414851
369,[63087 72858 73233 82903],[43895 35873 69048 44278],1509129414861
370,[63088 73385 72859 73234 82904],[43894 67500 35872 69050 44279],1509129414870
371,[63088 72861 73237 82904],[43894 35872 69046 44279],1509129414880
372,[63089 72861 73236 82906],[43894 35873 69049 44279],1509129414890
373,[63087 72859 73239 82906],[43894 35872 69050 44279],1509129414900
374,[63087 73395 72859 73232 82903],[43894 67496 35872 69048 44278],1509129414910
375,[63091 72859 73235 82907],[43893 35873 69047 44277],1509129414920
376,[63088 72858 73235 82904],[43893 35873 69048 44278],1509129414930
377,[63089 72859 73239 82901],[43894 35873 69048 44278],1509129414940
378,[63086 73391 72858 73235 82904],[43894 67498 35872 69047 44278],1509129414950
379,[63086 72860 73234 82907],[43893 35872 69048 44278],1509129414960
380,[63090 72860 73236 82904],[43895 35873 69048 44278],1509129414970
381,[63089 72859 73236 82903],[43893 35872 69048 44278],1509129414981
382,[63086 72858 73235 82904],[43894 35872 69050 44277],1509129414990
383,[63087 72859 73236 82908],[43895 35873 69047 44278],1509129415000
384,[63089 72859 73235 82907],[43894 35872 69048 44280],1509129415011
385,[63086 72859 73236 82903],[43893 35872 69047 44279],1509129415020
386,[63086 72858 73235 82907],[43895 35873 69048 44277],1509129415030
387,[63086 72860 73236 82903],[43893 35873 69050 44279],1509129415040
388,[63088 72860 73236 82908],[43894 35871 69049 44279],1509129415050
389,[63087 72859 73235 82905],[43894 35872 69043 44280],1509129415060
390,[63083 72857 73238 82907],[43895 35873 69047 44278],1509129415070
391,[63087 72858 73234 82905],[43894 35872 69047 44278],1509129415081
392,[63087 72859 73236 82906],[43894 35873 69048 44278],1509129415090
393,[63089 72860 73235 82910],[43895 35872 69048 44278],1509129415100
394,[63086 73390 72858 73237 82904],[43895 67490 35872 69050 44278],1509129415110
395,[63085 72858 73234 82905],[43894 35872 69047 44278],1509129415120
396,[63087 72860 73236 82905],[43894 35872 69048 44279],1509129415130
397,[63086 72860 73236 82907],[43894 35873 69051 44278],1509129415140
398,[63087 73388 72858 73236 82903],[43894 67490 35873 69048 44278],1509129415150
399,[63087 73394 72858 73235 82904],[43895 67505 35873 69048 44277],1509129415160
400,[63088 73399 72860 73238 82904],[43894 67503 35872 69049 44278],1509129415170
401,[63088 72859 73235 82909],[43894 35872 69050 44279],1509129415181
