,x,y,time
313,[68426 75885 76575 84291],[37939 65058 13038 38416],1509232340257
314,[67809 75281 76589 84618],[36514 63668 12267 37397],1509232340267
315,[68210 74776 76587 83921],[36228 63628 11523 37168],1509232340277
316,[69117 74552 76563 82859],[36462 64098 10882 37157],1509232340287
317,[69308 74807 76454 82699],[36270 63881 10434 36769],1509232340297
318,[68245 75571 76406 84148],[35204 62346 10252 35624],1509232340307
319,[66141 76453 76668 86759],[32712 10345 58723 33042],1509232340317
320,[64675 76461 77681 88654],[29352 10584 54175 29301],1509232340327
321,[64452 76490 78355 89035],[25775 10872 50133 25174],1509232340337
322,[65327 76521 78699 88078],[22919 11212 47564 21778],1509232340347
323,[66245 76544 78797 86963],[21545 11587 46585 20120],1509232340358
324,[66430 76536 79325 78618 86674],[21619 12019 46126 46781 20189],1509232340367
325,[66142 76417 78305 87030],[22427 12533 47574 21307],1509232340378
326,[65815 76337 77907 87542],[23494 13131 48736 22899],1509232340388
327,[65563 76347 77498 87978],[24656 13884 49996 24599],1509232340397
328,[65440 76352 77171 88240],[25816 14800 51240 26194],1509232340407
329,[65366 76358 76925 88361],[26938 15846 52433 27593],1509232340417
330,[65307 76341 76793 88413],[28037 16928 53584 28846],1509232340427
331,[65282 76310 76768 88408],[29159 18066 54729 29994],1509232340437
332,[65253 76282 76805 88347],[30350 19343 55929 31134],1509232340447
333,[65205 76196 76874 88259],[31684 20754 57232 32368],1509232340458
334,[65119 76127 76917 88140],[33169 22317 58665 33744],1509232340468
335,[65041 76078 76911 88040],[34777 23992 60253 35318],1509232340477
336,[64977 76021 76871 87956],[36498 25783 61971 37064],1509232340487
337,[64917 75966 76815 87873],[38348 27697 63799 38944],1509232340497
338,[64841 75880 76755 87789],[40308 29735 65729 40941],1509232340507
339,[64748 75804 76688 87703],[42377 31869 67762 43035],1509232340517
340,[65164 75688 76715 87044],[43097 34026 68648 43623],1509232340527
341,[67141 75644 76802 84677],[42374 35871 68720 42345],1509232340537
342,[70060 75563 76989],[41633 37301 68820],1509232340547
343,[75597 77023],[37792 68814],1509232340557
344,[75404 76954],[37481 68723],1509232340567
345,[69430 75582 76900],[41677 37080 68712],1509232340577
346,[68102 75587 76844 83310],[42009 36415 68666 41689],1509232340587
347,[67120 75646 76796 84813],[42276 35658 68630 42245],1509232340597
348,[66461 75714 76765 85915],[42475 34976 68601 42749],1509232340607
349,[65949 75813 76733 86566],[42638 34434 68578 43103],1509232340617
350,[65541 75793 76711 86936],[42786 34008 68555 43343],1509232340628
351,[65250 75801 76697 87169],[42899 33676 68541 43505],1509232340637
352,[65053 75789 76685 87337],[42970 33387 68534 43611],1509232340647
353,[64929 75764 76683 87437],[43012 33171 68531 43666],1509232340657
354,[64877 75748 76683 87465],[43027 33083 68532 43672],1509232340667
355,[64920 75742 76692 87440],[43014 33135 68535 43654],1509232340677
356,[65031 75750 76692 87382],[42981 33315 68551 43641],1509232340687
357,[65204 75769 76701 87245],[42914 33568 68558 43556],1509232340697
358,[65404 75799 76711 87052],[42845 33869 68572 43447],1509232340707
359,[65648 75814 76722 86807],[42757 34181 68586 43298],1509232340717
360,[65906 75802 76735 86532],[42666 34479 68603 43135],1509232340727
361,[66144 75764 76748 86214],[42583 34743 68617 42954],1509232340738
362,[66373 75677 76755 85892],[42507 34972 68628 42781],1509232340747
363,[66570 75650 76766 85621],[42444 35177 68638 42650],1509232340757
364,[66738 75655 76770 85435],[42386 35324 68641 42557],1509232340767
365,[66814 75658 76773 85371],[42360 35377 68643 42523],1509232340777
366,[66790 75665 76770 85396],[42363 35337 68642 42528],1509232340787
367,[66717 75664 76768 85486],[42382 35268 68634 42563],1509232340797
368,[66616 75669 76763 85608],[42415 35194 68628 42629],1509232340807
369,[66501 75674 76758 85745],[42453 35094 68620 42699],1509232340818
370,[66366 75675 76755 85898],[42499 34972 68616 42779],1509232340827
371,[66244 75685 76749 86041],[42539 34842 68612 42847],1509232340837
372,[66150 75689 76741 86165],[42570 34740 68609 42913],1509232340847
